Slice,Count,Total Area,Average Size,%Area,Mean
DH_SAM_sdETX4(f)_vg21-3(m)_F_Rep3_24_hn_04-1.tif,1,405899,405899,51.815,255
DH_SAM_sdETX4(f)_vg2a33(m)_F_Rep1_24_hn_08-1.tif,1,371733,371733,47.454,255
DH_SAM_sdETX4(f)_vg21-3(m)_F_Rep4_24_hn_04-1.tif,1,351815,351815,44.911,255
DH_SAM_sdETX4(f)_vg21-3(m)_F_Rep4_24_hn_06-1.tif,1,350092,350092,44.691,255
DH_SAM_sdETX4(f)_vg2a33(m)_F_Rep2_24_hn_02-1.tif,1,363002,363002,46.339,255
DH_SAM_sdETX4(f)_vg1(m)_F_Rep3_24_hn_08-1.tif,1,370292,370292,47.270,255
DH_SAM_sdETX4(f)_vg1(m)_F_Rep1_24_hn_07-1.tif,2,353409,176704.500,45.115,255
DH_SAM_sdETX4(f)_vg2a33(m)_F_Rep3_24_hn_05-1.tif,1,388700,388700,49.620,255
DH_SAM_sdETX4(f)_SAMw(m)_F _Rep2_24_hn_01-1.tif,2,310187,155093.500,39.597,255
DH_SAM_sdETX4(f)_vg21-3(m)_F_Rep2_24_hn_01-1.tif,2,375661,187830.500,47.955,255
DH_SAM_sdETX4(f)_vg2a33(m)_F_Rep4_24_hn_05-1.tif,1,372001,372001,47.488,255
DH_SAM_sdETX4(f)_vg2a33(m)_F_Rep4_24_hn_04-1.tif,1,384178,384178,49.042,255
DH_SAM_sdETX4(f)_vg2a33(m)_F_Rep3_24_hn_04-1.tif,1,376284,376284,48.035,255
DH_SAM_sdETX4(f)_vg1(m)_F_Rep1_24_hn_06-1.tif,1,353103,353103,45.075,255
DH_SAM_sdETX4(f)_vg2a33(m)_F_Rep2_24_hn_03-1.tif,1,365554,365554,46.665,255
DH_SAM_sdETX4(f)_SAMw(m)_M _Rep2_24_hn_01-1.tif,1,551525,551525,70.405,255
DH_SAM_sdETX4(f)_SAMw(m)_M _Rep4_24_hn_06-1.tif,1,561320,561320,71.655,255
DH_SAM_sdETX4(f)_vg2a33(m)_M_Rep1_24_hn_03-1.tif,1,578245,578245,73.816,255
DH_SAM_sdETX4(f)_vg2a33(m)_M_Rep1_24_hn_02-1.tif,1,555931,555931,70.967,255
DH_SAM_sdETX4(f)_vg21-3(m)_M_Rep1_24_hn_01-1.tif,1,573148,573148,73.165,255
DH_SAM_sdETX4(f)_SAMw(m)_M _Rep2_24_hn_02-1.tif,1,548180,548180,69.978,255
DH_SAM_sdETX4(f)_vgf02736(m)_F _Rep3_24_hn__01-1.tif,1,378426,378426,48.308,255
DH_SAM_sdETX4(f)_vg21-3(m)_M_Rep1_24_hn_03-1.tif,1,604250,604250,77.136,255
