Slice,Count,Total Area,Average Size,%Area,Mean
DH_SAM_sd1(f)_vg1(m)_F_Rep2_24_hn_06-1.tif,1,377359,377359.000,48.172,255
DH_SAM_sd1(f)_vg2a33(m)_F_Rep4_24_hn_2-1.tif,1,301818,301818.000,38.529,255
DH_SAM_sd1(f)_vg2a33(m)_F_Rep4_24_hn_3-1.tif,1,334175,334175.000,42.659,255
DH_SAM_sd1(f)_vg1(m)_F_Rep2_24_hn_07-1.tif,1,324270,324270.000,41.395,255
DH_SAM_sd1(f)_vg2a33(m)_F_Rep3_24_hn_01-1.tif,1,328483,328483.000,41.933,255
DH_SAM_sd1(f)_vg21-3(m)_F_Rep3_24_hn_02-1.tif,1,296363,296363.000,37.832,255
DH_SAM_sd1(f)_SAMw(m)_M_Rep2_24_hn_02-1.tif,1,449305,449305.000,57.356,255
DH_SAM_sd1(f)_vg21-3(m)_F_Rep4_24_hn_02-1.tif,0,0,NaN,0.000,NaN
DH_SAM_sd1(f)_vg2a33(m)_F_Rep2_24_hn_02-1.tif,0,0,NaN,0.000,NaN
DH_SAM_sd1(f)_vg1(m)_F_Rep4_24_hn_04-1.tif,2,375044,187522.000,47.876,255
DH_SAM_sd1(f)_vg1(m)_F_Rep3_24_hn_04-1.tif,1,379457,379457.000,48.440,255
DH_SAM_sd1(f)_SAMw(m)_M_Rep3_24_hn_01-1.tif,1,477315,477315.000,60.932,255
DH_SAM_sd1(f)_vg2a33(m)_F_Rep3_24_hn_05-1.tif,1,317473,317473.000,40.527,255
DH_SAM_sd1(f)_SAMw(m)_M_Rep4_24_hn_01-1.tif,1,487964,487964.000,62.291,255
DH_SAM_sd1(f)_vg1(m)_F_Rep2_24_hn_03-1.tif,1,379390,379390.000,48.431,255
DH_SAM_sd1(f)_vg21-3(m)_F_Rep2_24_hn_01-1.tif,1,310318,310318.000,39.614,255
DH_SAM_sd1(f)_vg1(m)_F_Rep2_24_hn_02-1.tif,1,371249,371249.000,47.392,255
DH_SAM_sd1(f)_vg1(m)_F_Rep2_24_hn_1-1.tif,1,386205,386205.000,49.301,255
DH_SAM_sd1(f)_vg2a33(m)_F_Rep3_24_hn_04-1.tif,0,0,NaN,0.000,NaN
DH_SAM_sd1(f)_vg1(m)_F_Rep3_24_hn_05-1.tif,1,313639,313639.000,40.038,255
DH_SAM_sd1(f)_vg1(m)_F_Rep4_24_hn_05-1.tif,1,393148,393148.000,50.187,255
DH_SAM_sd1(f)_vg2a33(m)_F_Rep2_24_hn_03-1.tif,0,0,NaN,0.000,NaN
DH_SAM_sd1(f)_vg2a33(m)_F_Rep2_24_hn_01-1.tif,1,342357,342357.000,43.704,255
DH_SAM_sd1(f)_vg1(m)_F_Rep4_24_hn_07-1.tif,0,0,NaN,0.000,NaN
DH_SAM_sd1(f)_vg1(m)_F_Rep3_24_hn_07-1.tif,1,341320,341320.000,43.571,255
DH_SAM_sd1(f)_vg2a33(m)_F_Rep1_24_hn_09-1.tif,1,393895,393895.000,50.283,255
DH_SAM_sd1(f)_vg2a33(m)_F_Rep3_24_hn_06-1.tif,1,338246,338246.000,43.179,255
DH_SAM_sd1(f)_SAMw(m)_M_Rep3_24_hn_02-1.tif,1,168080,168080.000,21.456,255
DH_SAM_sd1(f)_vg21-3(m)_F_Rep2_24_hn_02-1.tif,1,328393,328393.000,41.921,255
DH_SAM_sd1(f)_SAMw(m)_M_Rep4_24_hn_02-1.tif,1,463637,463637.000,59.186,255
DH_SAM_sd1(f)_vg2a33(m)_F_Rep4_24_hn_4-1.tif,1,345270,345270.000,44.076,255
DH_SAM_sd1(f)_vg2a33(m)_F_Rep4_24_hn_5-1.tif,2,333400,166700.000,42.560,255
DH_SAM_sd1(f)_SAMw(m)_M_Rep4_24_hn_03-1.tif,1,446532,446532.000,57.002,255
DH_SAM_sd1(f)_vg21-3(m)_F_Rep2_24_hn_03-1.tif,0,0,NaN,0.000,NaN
DH_SAM_sd1(f)_SAMw(m)_M_Rep3_24_hn_03-1.tif,1,481824,481824.000,61.507,255
DH_SAM_sd1(f)_vg2a33(m)_F_Rep1_24_hn_08-1.tif,2,360223,180111.500,45.984,255
DH_SAM_sd1(f)_vg1(m)_F_Rep3_24_hn_06-1.tif,1,375318,375318.000,47.911,255
DH_SAM_sd1(f)_vg1(m)_F_Rep4_24_hn_06-1.tif,1,361148,361148.000,46.102,255
DH_SAM_sd1(f)_SAMw(m)_M_Rep2_24_hn_04-1.tif,1,483022,483022.000,61.660,255
DH_SAM_sd1(f)_vgf02736(m)_F_Rep4_24_hn_01-1.tif,1,368917,368917.000,47.094,255
DH_SAM_sd1(f)_vg1(m)_M_Rep1_24_hn_1-1.tif,1,484819,484819.000,61.890,255
DH_SAM_sd1(f)_vgf02736(m)_f_Rep3_24_hn_01-1.tif,1,385318,385318.000,49.188,255
DH_SAM_sd1(f)_vg1(m)_F_Rep1_24_hn_2-1.tif,1,400759,400759.000,51.159,255
DH_SAM_sd1(f)_SAMw(m)_F_Rep1_24_hn_04-1.tif,1,355599,355599.000,45.394,255
DH_SAM_sd1(f)_SAMw(m)_F_Rep1_24_hn_10-1.tif,1,360218,360218.000,45.984,255
DH_SAM_sd1(f)_vg2a33(m)_M_Rep1_24_hn_01-1.tif,1,459031,459031.000,58.598,255
DH_SAM_sd1(f)_SAMw(m)_F_Rep1_24_hn_11-1.tif,1,404280,404280.000,51.608,255
DH_SAM_sd1(f)_SAMw(m)_F_Rep1_24_hn_05-1.tif,1,362814,362814.000,46.315,255
DH_SAM_sd1(f)_vg1(m)_F_Rep1_24_hn_3-1.tif,1,359970,359970.000,45.952,255
DH_SAM_sd1(f)_vg21-3(m)_M_Rep1_24_hn_02-1.tif,1,450280,450280.000,57.481,255
DH_SAM_sd1(f)_vgf02736(m)_F_Rep4_24_hn_02-1.tif,1,370187,370187.000,47.256,255
DH_SAM_sd1(f)_vgf02736(m)_f_Rep3_24_hn_02-1.tif,1,489518,489518.000,62.490,255
DH_SAM_sd1(f)_vg1(m)_M_Rep1_24_hn_2-1.tif,1,535124,535124.000,68.311,255
DH_SAM_sd1(f)_SAMw(m)_F_Rep4_24_hn_08-1.tif,1,375211,375211.000,47.898,255
DH_SAM_sd1(f)_vg1(m)_F_Rep1_24_hn_1-1.tif,1,370137,370137.000,47.250,255
DH_SAM_sd1(f)_vg2a33(m)_M_Rep1_24_hn_03-1.tif,1,456151,456151.000,58.230,255
DH_SAM_sd1(f)_SAMw(m)_F_Rep1_24_hn_07-1.tif,1,341309,341309.000,43.570,255
DH_SAM_sd1(f)_SAMw(m)_F_Rep1_24_hn_06-1.tif,1,377874,377874.000,48.238,255
DH_SAM_sd1(f)_vg2a33(m)_M_Rep1_24_hn_02-1.tif,1,463529,463529.000,59.172,255
DH_SAM_sd1(f)_SAMw(m)_F_Rep4_24_hn_09-1.tif,1,346055,346055.000,44.176,255
DH_SAM_sd1(f)_vgf02736(m)_f_Rep3_24_hn_03-1.tif,1,385927,385927.000,49.266,255
DH_SAM_sd1(f)_vg1(m)_M_Rep1_24_hn_3-1.tif,1,500197,500197.000,63.853,255
DH_SAM_sd1(f)_vg21-3(m)_M_Rep1_24_hn_01-1.tif,1,470593,470593.000,60.074,255
DH_SAM_sd1(f)_vgf02736(m)_F_Rep4_24_hn_03-1.tif,1,361810,361810.000,46.187,255
DH_SAM_sd1(f)_vg1(m)_M_Rep1_24_hn_7-1.tif,1,461005,461005.000,58.850,255
DH_SAM_sd1(f)_vg1(m)_M_Rep4_24_hn_08-1.tif,1,453301,453301.000,57.866,255
DH_SAM_sd1(f)_vg1(m)_F_Rep1_24_hn_4-1.tif,1,412152,412152.000,52.613,255
DH_SAM_sd1(f)_vg1(m)_M_Rep3_24_hn_08-1.tif,2,519203,259601.500,66.279,255
DH_SAM_sd1(f)_vg2a33(m)_M_Rep1_24_hn_06-1.tif,1,439228,439228.000,56.070,255
DH_SAM_sd1(f)_SAMw(m)_F_Rep1_24_hn_02-1.tif,1,365528,365528.000,46.662,255
DH_SAM_sd1(f)_SAMw(m)_F_Rep1_24_hn_03-1.tif,1,361628,361628.000,46.164,255
DH_SAM_sd1(f)_vgf02736(m)_F_Rep2_24_hn_01-1.tif,1,378992,378992.000,48.380,255
DH_SAM_sd1(f)_vg1(m)_M_Rep3_24_hn_09-1.tif,1,490617,490617.000,62.630,255
DH_SAM_sd1(f)_vg1(m)_F_Rep1_24_hn_5-1.tif,1,388064,388064.000,49.538,255
DH_SAM_sd1(f)_vg1(m)_M_Rep4_24_hn_09-1.tif,1,498910,498910.000,63.688,255
DH_SAM_sd1(f)_vg1(m)_M_Rep1_24_hn_6-1.tif,1,457695,457695.000,58.427,255
DH_SAM_sd1(f)_vgf02736(m)_f_Rep3_24_hn_06-1.tif,1,383116,383116.000,48.907,255
DH_SAM_sd1(f)_vgf02736(m)_F_Rep4_24_hn_06-1.tif,1,366678,366678.000,46.808,255
DH_SAM_sd1(f)_vgf02736(m)_F_Rep4_24_hn_04-1.tif,1,360538,360538.000,46.025,255
DH_SAM_sd1(f)_vgf02736(m)_f_Rep3_24_hn_04-1.tif,1,384394,384394.000,49.070,255
DH_SAM_sd1(f)_vg1(m)_M_Rep1_24_hn_4-1.tif,1,476546,476546.000,60.834,255
DH_SAM_sd1(f)_vg1(m)_F_Rep1_24_hn_7-1.tif,2,333715,166857.500,42.600,255
DH_SAM_sd1(f)_SAMw(m)_F_Rep1_24_hn_01-1.tif,2,313162,156581.000,39.977,255
DH_SAM_sd1(f)_vg2a33(m)_M_Rep1_24_hn_05-1.tif,1,431706,431706.000,55.110,255
DH_SAM_sd1(f)_vg2a33(m)_M_Rep1_24_hn_04-1.tif,1,447033,447033.000,57.066,255
DH_SAM_sd1(f)_vgf02736(m)_F_Rep2_24_hn_02-1.tif,1,380538,380538.000,48.578,255
DH_SAM_sd1(f)_vg1(m)_F_Rep1_24_hn_6-1.tif,1,373594,373594.000,47.691,255
DH_SAM_sd1(f)_vgf02736(m)_f_Rep3_24_hn_05-1.tif,1,386739,386739.000,49.369,255
DH_SAM_sd1(f)_vg1(m)_M_Rep1_24_hn_5-1.tif,1,508289,508289.000,64.886,255
DH_SAM_sd1(f)_vgf02736(m)_F_Rep4_24_hn_05-1.tif,1,367799,367799.000,46.951,255
